,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN
,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-07 00:00:00-05:00,192.89803398525805,194.26285017082193,192.85817668285955,193.53561401367188,47477700,0.0,0.0,134.885192688871,138.40116186957516,134.54558609949035,136.7730255126953,56767100,0.0,0.0,366.2284688548053,369.4309675148412,364.32884716235355,368.9336853027344,23118900,0.0,0.0,146.14999389648438,147.9199981689453,145.33999633789062,146.8800048828125,52352800,0.0,0.0
2023-12-08 00:00:00-05:00,193.46586755393116,195.24910937429306,192.93787231577198,194.9701690673828,53377300,0.0,0.0,134.04614798763492,136.24362282521002,133.87634470723054,134.8352508544922,32233900,0.0,0.0,367.19320389043816,372.42459221283207,366.228475168252,372.19586181640625,20144800,0.0,0.0,145.47999572753906,147.83999633789062,145.39999389648438,147.4199981689453,41858000,0.0,0.0
2023-12-11 00:00:00-05:00,192.37999481273732,192.75856317871126,190.6963810180936,192.44972229003906,60943700,0.0,0.0,132.22824656527277,133.187137501521,131.20941160937448,133.13719177246094,31138000,0.0,0.0,366.47712011214793,369.58015634537594,364.11005186068087,369.2817687988281,27708800,0.0,0.0,145.66000366210938,146.19000244140625,143.63999938964844,145.88999938964844,50907300,0.0,0.0
2023-12-12 00:00:00-05:00,192.35011019828545,193.9839099721223,190.99525073697387,193.9739532470703,52696900,0.0,0.0,131.6588949826549,132.8475332450338,131.10952243601383,132.3680877685547,29032800,0.0,0.0,368.83422055613806,372.3848228134841,368.4463258642292,372.34503173828125,24838300,0.0,0.0,145.52000427246094,147.5,145.3000030517578,147.47999572753906,44944300,0.0,0.0
2023-12-13 00:00:00-05:00,194.35249384296804,197.25149676182392,194.1134108483282,197.21165466308594,70404200,0.0,0.0,133.2270987669317,133.34695632236617,131.41917617974528,132.41802978515625,30104800,0.0,0.0,373.9760776046103,375.58729735411816,368.7546147441536,372.3350524902344,30955500,0.0,0.0,148.1199951171875,149.4600067138672,146.82000732421875,148.83999633789062,52766200,0.0,0.0
2023-12-14 00:00:00-05:00,197.27142786027224,198.86537024837708,195.4184586232846,197.361083984375,66831600,0.0,0.0,133.22709364048256,133.56670019534343,129.54132153973353,131.7887420654297,38722400,0.0,0.0,371.280838712993,371.72840483967144,362.1507446830086,363.9409484863281,43277500,0.0,0.0,149.92999267578125,150.5399932861328,145.52000427246094,147.4199981689453,58400800,0.0,0.0
2023-12-15 00:00:00-05:00,196.78327807496208,197.64998435819683,196.25528284481834,196.82313537597656,128256700,0.0,0.0,131.46911051121552,133.3569432709918,131.02961247337606,132.447998046875,50815200,0.0,0.0,364.85595950446617,370.37577983362354,364.28905050694055,368.7148742675781,78478200,0.0,0.0,148.3800048828125,150.57000732421875,147.8800048828125,149.97000122070312,110039100,0.0,0.0
2023-12-18 00:00:00-05:00,195.34873127044764,195.88669845947197,193.6551606997669,195.1494903564453,55751900,0.0,0.0,132.47795364431468,136.99276079941592,132.27817073761273,135.64431762695312,32258000,0.0,0.0,367.44180201938957,370.97249323253345,366.6759680640395,370.6243896484375,21802900,0.0,0.0,150.55999755859375,154.85000610351562,150.0500030517578,154.07000732421875,62512800,0.0,0.0
2023-12-19 00:00:00-05:00,195.41846071151812,196.2054675888958,195.14947713522938,196.1955108642578,40714100,0.0,0.0,136.68313180284602,137.31241448874488,135.92400850463434,136.49334716796875,25476800,0.0,0.0,369.4707112441685,371.2311096191406,367.82968609003717,371.2311096191406,20603700,0.0,0.0,154.39999389648438,155.1199951171875,152.69000244140625,153.7899932861328,43171300,0.0,0.0
2023-12-20 00:00:00-05:00,196.1556575241543,196.93270769258373,194.09349060058594,194.09349060058594,52242800,0.0,0.0,138.81069442652839,141.53756065227824,137.9117322285485,138.18141174316406,49107200,0.0,0.0,372.96166586355804,373.98606602506203,368.51596159239654,368.60546875,26316700,0.0,0.0,152.89999389648438,155.6300048828125,151.55999755859375,152.1199951171875,50322100,0.0,0.0
2023-12-21 00:00:00-05:00,195.35867601686434,196.3349670004207,192.76849889188017,193.94403076171875,46482500,0.0,0.0,139.33009143029648,140.52871267863284,139.0204340176539,140.25901794433594,27488300,0.0,0.0,370.5348985122851,372.37484866341606,368.02860723154686,371.50958251953125,17708000,0.0,0.0,153.3000030517578,153.97000122070312,152.10000610351562,153.83999633789062,36305700,0.0,0.0
